연번,규제시행국,수입국 국제통일상품분류체계(HS_코드1),수입국 국제통일상품분류체계(HS_코드2),수입국 국제통일상품분류체계(HS_코드3),수입국 국제통일상품분류체계(HS_코드4),수입국 국제통일상품분류체계(HS_코드5),수입국 국제통일상품분류체계(HS_코드6),수입국 국제통일상품분류체계(HS_코드7),수입국 국제통일상품분류체계(HS_코드8),수입국 국제통일상품분류체계(HS_코드9),수입국 국제통일상품분류체계(HS_코드10),수입국 국제통일상품분류체계(HS_코드11),수입국 국제통일상품분류체계(HS_코드12),수입국 국제통일상품분류체계(HS_코드13),수입국 국제통일상품분류체계(HS_코드14),수입국 국제통일상품분류체계(HS_코드15),수입국 국제통일상품분류체계(HS_코드16),수입국 국제통일상품분류체계(HS_코드17),수입국 국제통일상품분류체계(HS_코드18),수입국 국제통일상품분류체계(HS_코드19),수입국 국제통일상품분류체계(HS_코드20),수입국 국제통일상품분류체계(HS_코드21),수입국 국제통일상품분류체계(HS_코드22),수입국 국제통일상품분류체계(HS_코드23),수입국 국제통일상품분류체계(HS_코드24),수입국 국제통일상품분류체계(HS_코드25),수입국 국제통일상품분류체계(HS_코드26),수입국 국제통일상품분류체계(HS_코드27),수입국 국제통일상품분류체계(HS_코드28),수입국 국제통일상품분류체계(HS_코드29),수입국 국제통일상품분류체계(HS_코드30),수입국 국제통일상품분류체계(HS_코드31),수입국 국제통일상품분류체계(HS_코드32),수입국 국제통일상품분류체계(HS_코드33),수입국 국제통일상품분류체계(HS_코드34),수입국 국제통일상품분류체계(HS_코드35),수입국 국제통일상품분류체계(HS_코드36),수입국 국제통일상품분류체계(HS_코드37),수입국 국제통일상품분류체계(HS_코드38),수입국 국제통일상품분류체계(HS_코드39),수입국 국제통일상품분류체계(HS_코드40),수입국 국제통일상품분류체계(HS_코드41),수입국 국제통일상품분류체계(HS_코드42),수입국 국제통일상품분류체계(HS_코드43),수입국 국제통일상품분류체계(HS_코드44),수입국 국제통일상품분류체계(HS_코드45),수입국 국제통일상품분류체계(HS_코드46),수입국 국제통일상품분류체계(HS_코드47),수입국 국제통일상품분류체계(HS_코드48),수입국 국제통일상품분류체계(HS_코드49),수입국 국제통일상품분류체계(HS_코드50),수입국 국제통일상품분류체계(HS_코드51),수입국 국제통일상품분류체계(HS_코드52),수입국 국제통일상품분류체계(HS_코드53),수입국 국제통일상품분류체계(HS_코드54),수입국 국제통일상품분류체계(HS_코드55),수입국 국제통일상품분류체계(HS_코드56),수입국 국제통일상품분류체계(HS_코드57),수입국 국제통일상품분류체계(HS_코드58),수입국 국제통일상품분류체계(HS_코드59),수입국 국제통일상품분류체계(HS_코드60),수입국 국제통일상품분류체계(HS_코드61),수입국 국제통일상품분류체계(HS_코드62),수입국 국제통일상품분류체계(HS_코드63),수입국 국제통일상품분류체계(HS_코드64),수입국 국제통일상품분류체계(HS_코드65),수입국 국제통일상품분류체계(HS_코드66),수입국 국제통일상품분류체계(HS_코드67),수입국 국제통일상품분류체계(HS_코드68),수입국 국제통일상품분류체계(HS_코드69),수입국 국제통일상품분류체계(HS_코드70),수입국 국제통일상품분류체계(HS_코드71),수입국 국제통일상품분류체계(HS_코드72),수입국 국제통일상품분류체계(HS_코드73),수입국 국제통일상품분류체계(HS_코드74),수입국 국제통일상품분류체계(HS_코드75),수입국 국제통일상품분류체계(HS_코드76),수입국 국제통일상품분류체계(HS_코드77),수입국 국제통일상품분류체계(HS_코드78),수입국 국제통일상품분류체계(HS_코드79),수입국 국제통일상품분류체계(HS_코드80),수입국 국제통일상품분류체계(HS_코드81),수입국 국제통일상품분류체계(HS_코드82),수입국 국제통일상품분류체계(HS_코드83),수입국 국제통일상품분류체계(HS_코드84),수입국 국제통일상품분류체계(HS_코드85),수입국 국제통일상품분류체계(HS_코드86),수입국 국제통일상품분류체계(HS_코드87),수입국 국제통일상품분류체계(HS_코드88),수입국 국제통일상품분류체계(HS_코드89),수입국 국제통일상품분류체계(HS_코드90),수입국 국제통일상품분류체계(HS_코드91),수입국 국제통일상품분류체계(HS_코드92),수입국 국제통일상품분류체계(HS_코드93),수입국 국제통일상품분류체계(HS_코드94),수입국 국제통일상품분류체계(HS_코드95),수입국 국제통일상품분류체계(HS_코드96),수입국 국제통일상품분류체계(HS_코드97),수입국 국제통일상품분류체계(HS_코드98),수입국 국제통일상품분류체계(HS_코드99),수입국 국제통일상품분류체계(HS_코드100),수입국 국제통일상품분류체계(HS_코드101),수입국 국제통일상품분류체계(HS_코드102),수입국 국제통일상품분류체계(HS_코드103),수입국 국제통일상품분류체계(HS_코드104),수입국 국제통일상품분류체계(HS_코드105),수입국 국제통일상품분류체계(HS_코드106),수입국 국제통일상품분류체계(HS_코드107),수입국 국제통일상품분류체계(HS_코드108),수입국 국제통일상품분류체계(HS_코드109),수입국 국제통일상품분류체계(HS_코드110),수입국 국제통일상품분류체계(HS_코드111),수입국 국제통일상품분류체계(HS_코드112),수입국 국제통일상품분류체계(HS_코드113),수입국 국제통일상품분류체계(HS_코드114),수입국 국제통일상품분류체계(HS_코드115),수입국 국제통일상품분류체계(HS_코드116),수입국 국제통일상품분류체계(HS_코드117),수입국 국제통일상품분류체계(HS_코드118),수입국 국제통일상품분류체계(HS_코드119),수입국 국제통일상품분류체계(HS_코드120),수입국 국제통일상품분류체계(HS_코드121),수입국 국제통일상품분류체계(HS_코드122),수입국 국제통일상품분류체계(HS_코드123),수입국 국제통일상품분류체계(HS_코드124),수입국 국제통일상품분류체계(HS_코드125),수입국 국제통일상품분류체계(HS_코드126),수입국 국제통일상품분류체계(HS_코드127),수입국 국제통일상품분류체계(HS_코드128),품목명,규제형태(진행상황),규제대상국 ,최종 판정결과(부과기간),최종 판정결과(관세율),한국대상여부
3128 ,NL,293361 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,멜라민(Melamine),반덤핑(규제중),중국,ㅇ 부과기간 : 2017-07-01 ~ 2028-09-16,ㅇ 판정결과 : 12 ~ 65.2%,N
3129 ,NL,2905310010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,모노에틸렌글리콜 (Mono Ethylene Glycol (MEG)),반덤핑(규제중),"미국, 사우디 아라비아",ㅇ 부과기간 : 2021-11-16 ~ 2026-11-16,ㅇ 판정결과  · 미국 : 3%~60.1%  · 사우디아라비아 : 7.7%,N
3130 ,NL,8102960011 ,8102960019 ,8102960030 ,8102960020 ,8102960040 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,몰리브덴 와이어 (Molybdenum wires),반덤핑(규제중),중국,ㅇ 부과기간 : 2016-06-29 ~ 2027-07-27,ㅇ 판정결과 :  64.3%,N
3131 ,NL,8102960011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,몰리브덴 와이어 (Molybdenum wires),우회수출(반덤핑)(규제중),말레이시아,ㅇ 부과기간 : 2016-06-29 ~ 2027-07-27,ㅇ 판정결과 :  64.3%     * 중국산 규제 관련 말레이시아 우회수출품에도 64.3% 적용(8102960011 품목에 한해) ,N
3132 ,NL,1516209821 ,1518009121 ,1518009921 ,2710194321 ,2710194621 ,2710194721 ,2710201121 ,3826001020 ,3826001089 ,3826009011 ,3824999210 ,3826001050 ,2710201621 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,바이오 디젤(Biodiesel),반덤핑(규제중),미국,ㅇ 부과기간 : 2021-08-03 ~ 2026-08-03,"ㅇ 판정결과   ·  미국 : EUR 0 ~198 유로 / t  ·  캐나다(우회덤핑) : EURO 172.2 / t (단, 캐나다 BIOX, DSM, Rothsay社는 반덤핑 조치 제외)",N
3133 ,NL,1516209821 ,1518009121 ,1518009921 ,2710194321 ,2710194621 ,2710194721 ,2710201121 ,3826001020 ,3826001089 ,3826009011 ,3824999210 ,3826001050 ,2710201621 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,바이오 디젤(Biodiesel),상계관세(규제중),미국,ㅇ 부과기간 : 2021-08-03 ~ 2026-08-03,"ㅇ 판정결과   ·  미국 : EUR 211.2 ~ 237.0 / t  ·  캐나다(우회) : 237 유로/ t (단 캐나다  BIOX, DSM, Rothsay社는 조치 제외)",N
3134 ,NL,1516209821 ,1516209829 ,1516209830 ,1518009121 ,1518009130 ,1518009510 ,1518009921 ,1518009929 ,2710194321 ,2710194329 ,2710194330 ,2710194621 ,2710194629 ,2710194630 ,2710194721 ,2710194729 ,2710194730 ,27102011 ,3824999210 ,3824999212 ,3824999220 ,38260010 ,3826009011 ,3826009019 ,3826009030 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,바이오 디젤(Biodiesel),상계관세(규제중),인도네시아,ㅇ 부과기간 : 2019-12-10 ~ 2024-12-10,ㅇ 판정결과 : 8.0 ~ 18.0%* 일몰재심중 (2024.12.6~),N
3135 ,NL,1516209821 ,1516209829 ,1516209830 ,1518009121 ,1518009129 ,1518009130 ,1518009510 ,1518009921 ,1518009929 ,1518009930 ,2710194321 ,2710194329 ,2710194330 ,2710194621 ,2710194629 ,2710194630 ,2710194721 ,2710194729 ,2710194730 ,2710201100 ,2710201500 ,2710201700 ,3824999210 ,3824999212 ,3824999220 ,38260010 ,3826009011 ,3826009019 ,3826009030 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,바이오 디젤(Biodiesel),상계관세(규제중),아르헨티나,ㅇ 부과기간 : 2019-02-12 ~ 2024-02-12,ㅇ 판정결과 : 25.0 ~ 33.4%* 일몰재심중 ( 2024.2.9 ~ ),N
3136 ,NL,40112090 ,4012120010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,버스 또는 대형트럭용 타이어 (신규 또는 재생타이어)(Tyres for buses or lorries (new and retreaded)),반덤핑(규제중),중국,ㅇ 부과기간 : 2018-10-22 ~ 2030-01-17,ㅇ 판정결과 : 0 ~ 35.74%,N
3137 ,NL,40112090 ,4012120010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,버스 또는 대형트럭용 타이어 (신규 또는 재생타이어)(Tyres for buses or lorries (new and retreaded)),상계관세(규제중),중국,ㅇ 부과기간 : 2018-11-13 ~ 2030-01-17,ㅇ 판정결과 : 3.75% ~ 57.28%,N
3138 ,NL,7210410020 ,7210490020 ,7210610020 ,7210690020 ,7212300020 ,7212506120 ,7212506920 ,7225920020 ,7225990022 ,7225990092 ,7226993010 ,7226997094 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,내식강(CRS)(Corrosion resistant steel (CRS)),반덤핑(규제중),중국,ㅇ 부과기간 : 2018-02-08 ~ 2029-03-12,ㅇ 판정결과 : 17.2% ~ 27.9%,N
3139 ,NL,7208512010 ,7208519110 ,7208529110 ,7208902010 ,7208908020 ,7225404000 ,7225406010 ,7208512010 ,7208519801 ,7225990030 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,비합금강 및 기타 합금강의 중후판 (특정)(Heavy plate of non-alloy or other alloy steel (certain)),반덤핑(규제중),중국,ㅇ 부과기간 : 2017-02-28 ~ 2028-05-18,"ㅇ 판정결과 : 65.1 ~ 73.7% * EU 철강 SG 시행기간(2019.2.2~2024.6.30)에는 SG 관세율(25%) 적용, 이보다 높은 경우 차액 적용(EU 2019/1382 부속서 2)",N
3140 ,NL,721310 ,721320 ,72139110 ,72139120 ,72139141 ,72139149 ,72139170 ,72139190 ,72139910 ,72139990 ,722710 ,722720 ,72279010 ,72279050 ,72279095 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,선재(Wire rod),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-10-14 ~ 2026-10-14,ㅇ 판정결과 : 7.9 ~ 24.0% *  2021.10.14 : 일몰재심후 5년 연장 결정,N
3141 ,NL,2921420060 ,2921420040 ,2921420061 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,설파닐산(Sulphanilic acid),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-03-13 ~ 2026-03-13,ㅇ 판정결과 : 33.7%,N
3142 ,NL,6907 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,세라믹 타일(Ceramic tiles),반덤핑(규제중),중국,ㅇ 부과기간 : 2017-11-23 ~ 2029-02-14,ㅇ 판정결과 : 13.9 ~ 69.7%* 일몰재심 후 5년 연장 결정 (2024.2.13),N
3143 ,NL,301919011 ,302118011 ,303149011 ,304429010 ,304829010 ,305430011 ,1604191011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,송어(특정 무지개)(Trout (certain rainbow)),상계관세(규제중),튀르키예,ㅇ 부과기간 : 2021-05-25 ~ 2026-05-26,ㅇ 판정결과 : 2.8 ~ 4.4% * 중간 재심 후 관세율 변경 (2022.12.8)  ,N
3144 ,NL,7304110000 ,7304220000 ,7304240000 ,7304491000 ,7304900000 ,7304410000 ,7304499900 ,7304499300 ,7304499500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인레스 강 심레스 파이프 및 튜브 (Seamless pipes and tubes of stainless steel),반덤핑(규제중),중국,ㅇ 부과기간 : 2018-03-06 ~ 2029-06-01,ㅇ 판정결과 : 48.3 ~ 71.9% * 일몰재심 결과 규제연장 결정(2024.6.1~),N
3145 ,NL,72193100 ,72193210 ,72193290 ,72193310 ,72193390 ,72193410 ,72193490 ,72193510 ,72193590 ,72199020 ,72199080 ,72202021 ,72202029 ,72202041 ,72202049 ,72202081 ,72202089 ,72209020 ,72209080 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 냉간 압연 플랫 제품(Stainless steel cold-rolled flat product),상계관세(규제중),"인도, 인도네시아",ㅇ 부과기간 : 2022-03-16 ~ 2027-03-17,ㅇ 판정결과   ·  인도 : 4.3 ~ 7.5%  ·  인도네시아 : 0 ~ 21.4%,N
3146 ,NL,72193100 ,72193210 ,72193290 ,72193310 ,72193390 ,72193410 ,72193490 ,72193510 ,72193590 ,72199020 ,72199080 ,72202021 ,72202029 ,72202041 ,72202049 ,72202081 ,72202089 ,72209020 ,72209080 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 냉간 압연 플랫 제품(Stainless steel cold-rolled flat product),우회수출(상계관세)(규제중),"대만, 튀르키예, 베트남",ㅇ 부과기간 : 2022-03-16 ~ 2027-03-17,"ㅇ 판정결과   ·  (우회) 대만, 터키, 베트남 : 20.5%, * 2024.5.7: 대만, 터키, 베트남의 위탁수입품에도 상계관세 적용 판정(단 대만 ChiaFarIndustrial Factory, Tang Eng Iron works, Tun Mung Development, Walsin Linhwy Corp, Yieh United Steel Corp, Yuan Long Stainless steel Corp, 터키 Posco, 베트남 Posco,Lam Khang Joint Stock社 제외)",N
3147 ,NL,7307239000 ,7307231000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 스틸 튜브 및 파이프 피팅 (맞대기 용접 피팅) (Tubes and pipe fittings of stainless steel (butt-welding fittings)),반덤핑(규제중),"중국, 대만",ㅇ 부과기간 : 2017-01-27 ~ 2028-04-15,ㅇ 판정결과   · 중국 : 30.7 ~ 64.9%  · 대만 : 5.1 ~ 12.1%,N
3148 ,NL,7307239000 ,7307231000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 스틸 튜브 및 파이프 피팅 (맞대기 용접 피팅) (Tubes and pipe fittings of stainless steel (butt-welding fittings)),우회수출(반덤핑)(규제중),말레이시아,ㅇ 부과기간 : 2017-01-27 ~ 2028-04-15,"ㅇ 판정결과   · (우회) 말레이시아 : 64.9%* 2023.3.3: 중국/대만산 규제건 관련 말레이시아 우회수입에 반덤핑 관세 적용 판정 (단, Pantech, SP United 社는 제외) ",N
3149 ,NL,72193100 ,72193210 ,72193290 ,72193310 ,72193390 ,72193410 ,72193490 ,72193510 ,72193590 ,72199020 ,72199080 ,72202021 ,72202029 ,72202041 ,72202049 ,72202081 ,72202089 ,72209020 ,72209080 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 냉간 압연 제품 (Stainless Steel Cold-Rolled products (SSCR)),반덤핑(규제중),"인도, 인도네시아",ㅇ 부과기간 : 2021-11-19 ~ 2026-11-19,ㅇ 판정결과  · 인도 : 10.0 ~ 35.3%  · 인도네시아 : 9.3 ~ 20.2%,N
3150 ,NL,72193100 ,72193210 ,72193290 ,72193310 ,72193390 ,72193410 ,72193490 ,72193510 ,72193590 ,72199020 ,72199080 ,72202021 ,72202029 ,72202041 ,72202049 ,72202081 ,72202089 ,72209020 ,72209080 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 냉간 압연 제품 (Stainless Steel Cold-Rolled products (SSCR)),우회수출(반덤핑)(규제중),"대만, 베트남",ㅇ 부과기간 : 2021-11-19 ~ 2026-11-19,"ㅇ 판정결과  · (우회) 대만, 베트남 : 19.3% * 2024.5.7: 인도/인도세시아 규제건 관련 대만, 베트남의 위탁수입에 반덤핑 관세 적용 판정(단, 대만 ChiaFarIndustrial Factory, Tang Eng Iron works, Tun Mung Development, Walsin Linhwy Corp, Yieh United Steel Corp, Yuan Long Stainless steel Corp, 베트남 Posco VST, LamKhang Joint stock 社는 제외)",N
3151 ,NL,72193100 ,72193210 ,72193290 ,72193310 ,72193390 ,72193410 ,72193490 ,72193510 ,72193590 ,72202021 ,72202029 ,72202041 ,72202049 ,72202081 ,72202089 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 냉간 압연 플랫 제품(Stainless steel cold-rolled flat products),반덤핑(규제중),"중국, 대만",ㅇ 부과기간 : 2021-09-17 ~ 2026-09-17,ㅇ 판정결과   ·  중국 : 24.4 ~ 25.3%  ·  대만 : 0 ~ 6.8%,N
3152 ,NL,72192300 ,72192200 ,72201200 ,72191100 ,72191300 ,72191400 ,72192400 ,72201100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 강 열연 평판 제품(SSHR)(Stainless steel hot-rolled flat products (SSHR)),반덤핑(규제중),"인도네시아, 중국, 대만",ㅇ 부과기간 : 2020-10-07 ~ 2025-10-08,ㅇ 판정결과   · 인도네시아 : 17.3%  · 중국 : 9.2 ~ 19.0%  · 대만 :  4.1 ~ 7.5%,N
3153 ,NL,72192300 ,72192200 ,72201200 ,72191100 ,72191300 ,72191400 ,72192400 ,72201100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스테인리스 강 열연 평판 제품(SSHR)(Stainless steel hot-rolled flat products (SSHR)),우회수출(반덤핑)(규제중),튀르키예,ㅇ 부과기간 : 2020-10-07 ~ 2025-10-08,ㅇ 판정결과  · (우회) 튀르키예 : 17.3%* 2023.4.18:  인도네시아/중국/대만 규제건 관련 튀르키예 위탁수입품에 반덤핑 관세 적용 판정,N
3154 ,NL,2929900010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,시클라민산 나트륨 (Sodium cyclamate),반덤핑(규제중),"인도네시아, 중국",ㅇ 부과기간 : 2016-07-16 ~ 2027-10-12,ㅇ 판정결과   ·  인도네시아 : EURO0.24 ~ EURO0.27 / Kg  ·  중국 : EURO0.23 ~ EURO1.17 / Kg,N
3155 ,NL,6911100090 ,6912002111 ,6912002191 ,6912002310 ,6912002510 ,6912002910 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,식기 및 주방 용품(세라믹)(Tableware and kitchenware (ceramic)),반덤핑(규제중),중국,ㅇ 부과기간 : 2019-07-16 ~ 2024-07-16,ㅇ 판정결과 : 13.1 ~ 36.1%* 일몰재심 진행 중 ( 2024.7.12 ~ ),N
3156 ,NL,28046900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실리콘 메탈(Silicon metal),반덤핑(규제중),중국,ㅇ 부과기간 : 2022-08-13 ~ 2027-08-13,ㅇ 판정결과 : 16.3% ~ 16.8% * 2022.8.12 : 일몰재심후 규제 5년 연장 결정,N
3157 ,NL,28046900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실리콘 메탈(Silicon metal),우회수출(반덤핑)(규제중),"한국, 대만",ㅇ 부과기간 : 2022-08-13 ~ 2027-08-13,"ㅇ 판정결과  · (우회) 한국 : 16.8%  · (우회) 대만 : 16.8% * 중국산 규제건 관련 한국, 대만 우회수출품을 규제 * 2022.8.12 : 일몰재심후 규제 5년 연장 결정",Y
3158 ,NL,2934999021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아세설팜 칼륨(ACE-K)(Acesulfame Potassium (ACE-K)),반덤핑(규제중),중국,ㅇ 부과기간 : 2022-01-29 ~ 2027-01-29,ㅇ 판정결과 : 2.64~4.58 Euro per kg net * 일몰재심후 조치 연장 결정,N
3159 ,NL,2924297005 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아스파탐(Aspartame),반덤핑(규제중),중국,ㅇ 부과기간 : 2016-07-29 ~ 2027-10-25,ㅇ 판정결과 : 55.4 ~ 59.4%,N
3160 ,NL,7615101010 ,7615108010 ,7616991091 ,7616999001 ,7616999091 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 라디에이터(Aluminium radiators),반덤핑(규제중),중국,ㅇ 부과기간 : 2019-01-15 ~ 2029-10-16,ㅇ 판정결과 : 12.6 ~ 61.4%* 2024.10.15일 일몰재심후 조치 연장 결정 ,N
3161 ,NL,8708701015 ,8708701050 ,8708705015 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 로드휠셋 (특정)(Aluminium road wheels (certain),반덤핑(규제중),중국,ㅇ 부과기간 : 2017-01-24 ~ 2028-01-20,ㅇ 판정결과 : 22.3%,N
